url,prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,popularity
http://upload.wikimedia.org/wikipedia/commons/5/5d/Checker-16x16.png,1,1,3,30,34,87,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Qsicon_lesenswert.svg/15px-Qsicon_lesenswert.svg.png,1,1,3,1,3,88,78,81,1
http://en.wikipedia.org/wiki/The_Pianist_(2002_film),2,5,48,0,0,0,0,0,0
http://de.wikipedia.org/w/index.php?title=MediaWiki:SpezialSuche.js&action=raw&ctype=text/javascript&dontcountme=s&smaxage=3600,5,3,49,31,0,0,0,0,1
http://meta.wikimedia.org/w/index.php?title=MediaWiki:Wikiminiatlas.js&action=raw&ctype=text/javascript&dontcountme=s,14,3,22,32,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Nuvola_apps_kcoloredit.png/30px-Nuvola_apps_kcoloredit.png,1,1,3,1,12,89,79,82,1
http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tanzania.svg/42px-Flag_of_Tanzania.svg.png,1,1,3,1,14,90,80,83,0
http://meta.wikimedia.org/style/monobook/main.css,14,9,6,33,0,0,0,0,1
http://pl.wikipedia.org/wiki/PZL_W-3_Sok%C3%B3%C5%82,4,5,50,0,0,0,0,0,0
http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Wikinews-logo.png/35px-Wikinews-logo.png,1,1,3,1,15,14,81,84,1
http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/22px-Flag_of_Brazil.svg.png,1,1,3,1,13,91,82,85,1
http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Gnome-globe.svg/23px-Gnome-globe.svg.png,1,1,3,1,16,38,83,86,1
http://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Scout_woodbadge_beads.jpg/100px-Scout_woodbadge_beads.jpg,1,1,1,1,30,92,84,87,1
http://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Science-symbol-2.png/30px-Science-symbol-2.png,1,1,1,1,1,93,85,88,0
http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Amyloidosis%2C_lymph_node%2C_polarizer.jpg/180px-Amyloidosis%2C_lymph_node%2C_polarizer.jpg,1,1,3,1,11,58,86,89,1
http://upload.wikimedia.org/wikipedia/en/d/d4/Monobook-bullet-star.png,1,1,1,7,9,94,0,0,1
http://es.wikipedia.org/skins-1.5/monobook/headbg.jpg,3,4,6,8,0,0,0,0,1
http://de.wikipedia.org/wiki/Spezial:Suche?search=vom+guten+menschen,5,5,51,0,0,0,0,0,0
